narration,category
ATM,Cash
ATM,Cash
UPI AYUBRAJE,Transfer
UPI ABUTALAH,Transfer
UPI AGRAWALB,Transfer
UPI GOASELEC,Shopping
UPI GOASELEC,Shopping
UPI AGRAWALB,Transfer
NEFT,Salary
UPI NAFEESAB,Income
UPI NAFEESAB,Income
UPI MAHAMMADH,Transfer
UPI PHONEPE,Utilities
UPI PHONEPE,Utilities
UPI FLIPKART,Shopping
UPI BUDESAHEB,Transfer
UPI FLIPKART,Shopping
ECS,Salary
NEFT,Salary
DEBIT CARD ANNUAL,Banking
SBINT,Income
UPI AYUBRAJE,Transfer
UPI STATEBAN,Transfer
ATM,Cash
ATM,Cash
NEFT,Salary
UPI BUDESAHEB,Transfer
UPI PHONEPE,Utilities
UPI PHONEPE,Utilities
NEFT,Salary
UPI ABUTALAH,Transfer
UPI BUDESAHEB,Transfer
ECS,Salary
ECS,Salary
STOCK CHRG,Shopping
STOCK CHRG,Shopping
UPI ABDULHAME,Transfer
UPI NAFEESAB,Transfer
ATM,Cash
ATM,Cash
UPI ABUTALAH,Transfer
NEFT,Salary
UPI AYUBRAJE,Transfer
UPI SANGALLI,Transfer
UPI SANGALLI,Transfer
UPI ABUTALAH,Transfer
UPI PHONEPE,Utilities
UPI SANGALLI,Transfer
UPI NAFEESAB,Income
UPI NAFEESAB,Income
UPI ABUTALAH,Transfer
NEFT,Salary
UPI SANGALLI,Transfer
UPI PHONEPE,Utilities
UPI ABUTALAH,Transfer
UPI ABUTALAH,Transfer
NEFT,Salary
SMS CHARGES,Shopping
UPI SANGALLI,Transfer
UPI KIRNAKUMA,Transfer
CHEQUE,Shopping
UPI ABUTALAH,Transfer
UPI ABUTALAH,Transfer
ATM,Cash
UPI ABUTALAH,Transfer
UPI AYUBRAJE,Transfer
NEFT,Salary
UPI SANGALLI,Transfer
UPI SANGALLI,Transfer
UPI PHONEPE,Utilities
CHEQUE,Shopping
UPI PHONEPE,Utilities
UPI NAFEESAB,Income
IMPS,Income
IMPS,Income
NEFT,Salary
UPI ABUTALAH,Transfer
UPI SANGALLI,Transfer
UPI MAHAMMADH,Transfer
NEFT,Salary
UPI ABUTALAH,Transfer
SBINT,Income
UPI AYUBRAJE,Transfer
UPI NAFEESAB,Income
UPI SANGALLI,Transfer
NEFT,Salary
UPI NAFEESAB,Income
UPI NAFEESAB,Income
ECS,Salary
UPI ABUTALICN,Transfer
ATM,Cash
UPI HDFCBANK,Transfer
UPI PHONEPE,Utilities
UPI PHONEPE,Utilities
UPI PHONEPE,Utilities
UPI ABUTALAH,Transfer
NEFT,Salary
UPI ABUTALAH,Transfer
UPI FLIPKART,Shopping
ATM,Cash
UPI FLIPKART,Shopping
UPI NAFEESAB,Income
NEFT,Salary
UPI AYUBRAJE,Transfer
UPI FLIPKART,Shopping
UPI ABUTALAH,Transfer
UPI PHONEPE,Utilities
UPI DADAKHALA,Transfer
UPI PHONEPE,Utilities
UPI ADINATHM,Transfer
ECS,Salary
UPI HDFCBANK,Transfer
UPI DADAKHALA,Income
UPI ABUTALAH,Transfer
UPI ABUTALAH,Income
ATM,Cash
UPI ABUTALAH,Transfer
SMS CHARGES,Shopping
UPI ABUTALAH,Transfer
UPI ABUTALAH,Transfer
NEFT,Salary
UPI ABUTALAH,Transfer
UPI HDFCBANK,Transfer
UPI NAFEESAB,Income
UPI AYUBRAJE,Transfer
NEFT,Salary
UPI SANGALLI,Transfer
UPI MAHAMMADH,Transfer
UPI IBRAHIMK,Transfer
UPI PHONEPE,Utilities
UPI ABUTALAH,Transfer
UPI IBRAHIMK,Transfer
ATM,Cash
UPI ISUFSABA,Income
UPI ISUFSABA,Income
UPI ABUTALAH,Transfer
UPI PHONEPE,Utilities
UPI ABUTALAH,Transfer
